conn_hash	stmt_id	exec_id	exec_time	sql_type	exe_status	db_ip	client_ip	client_host	app_name	db_user	sql_hash	from_tbs	select_cols	sql_stmt	stmt_bind_vars
conn_10138430113042742145	1	2	2024-11-18 02:46:37	ALTER	SUCCESS	192.168.163.102	10.0.160.230	ERP_USER_HOST102	ERP	SYSTEM	sql_0a9bca16c072be14	users	N/A	ALTER TABLE users ADD COLUMN atttribute03 DATE	
conn_6660997032102702101	1	2	2024-11-16 02:44:18	INSERT	SUCCESS	192.168.109.220	10.0.131.119	ERP_USER_HOST103	WEB App	PM	sql_a50b22d896f8394f	events	N/A	INSERT INTO events (id, name, age, salary) VALUES (19, 'John Doe', 23, 3492)	
conn_15701736004117042936	1	2	2024-11-20 02:43:03	INSERT	SUCCESS	192.168.91.200	10.0.176.130	ERP_USER_HOST103	WEB App	OE	sql_d34bee4e8ab18067	logs	N/A	INSERT INTO logs (id, name, age, salary) VALUES (98, 'Alice Johnson', 24, 8916)	
conn_396016303895343836	1	2	2024-11-18 02:46:02	SELECT	SUCCESS	192.168.194.160	10.0.164.107	ERP_USER_HOST104	ERP	IX	sql_7aeff51dd2bd936c	users	event_date, produc_name, id, updated_by, commission, produc_name, department, id, comm, comm, creation_dae	SELECT event_date, produc_name, id, updated_by, commission, produc_name, department, id, comm, comm, creation_dae FROM users WHERE name LIKE 'A%' AND event_date BETWEEN '2024-11-19 02:41:07' AND '2024-11-23 02:41:07'  AND last_update_by = 'John Doe' AND name LIKE 'A%' AND created_by = 'Bob Brown' AND created_by = 'Bob Brown'	'A%', '2024-11-19 02:41:07', '2024-11-23 02:41:07', 'John Doe', 'A%', 'Bob Brown', 'Bob Brown'
conn_6660997032102702101	1	3	2024-11-16 02:46:16	UPDATE	FAILURE	192.168.94.120	10.0.184.28	ERP_USER_HOST105	WEB App	IX	sql_57e7d9df02fda353	projects	N/A	UPDATE projects SET salary = 3151 WHERE commission = 186.03 AND salary < 5095 AND name LIKE 'B%' AND name LIKE 'B%' AND department = 'HR' AND last_update_by = 'John Doe'	186.03, 5095, 'B%', 'B%', 'HR', 'John Doe'
conn_15803055954702064595	1	2	2024-11-19 02:43:09	SELECT	FAILURE	192.168.40.12	10.0.15.49	ERP_USER_HOST101	WEB App	HR	sql_974976f8ed636750	employees	comm, commission	SELECT comm, commission FROM employees WHERE event_date BETWEEN '2024-11-21 02:41:07' AND '2024-11-23 02:41:07'  AND name LIKE 'B%' AND event_date BETWEEN '2024-11-21 02:41:07' AND '2024-11-23 02:41:07'  AND last_update_by = 'Bob Brown' AND age > 42 AND commission = 497.27	'2024-11-21 02:41:07', '2024-11-23 02:41:07', 'B%', '2024-11-21 02:41:07', '2024-11-23 02:41:07', 'Bob Brown', 42, 497.27
conn_8216480881201710614	1	2	2024-11-19 02:41:59	DELETE	FAILURE	192.168.240.76	10.0.56.3	ERP_USER_HOST102	WEB App	OE	sql_68b178c0b7c2f052	users	N/A	DELETE FROM users WHERE commission = 674.36 AND name LIKE 'A%' AND event_date BETWEEN '2024-11-22 02:41:07' AND '2024-11-23 02:41:07'  AND age > 42 AND last_update_by = 'Charlie Davis'	674.36, 'A%', '2024-11-22 02:41:07', '2024-11-23 02:41:07', 42, 'Charlie Davis'
conn_13331526357950274029	1	2	2024-11-18 02:42:35	INSERT	SUCCESS	192.168.45.40	10.0.48.56	ERP_USER_HOST105	ERP	SYS	sql_6f71e7b75f9cdb70	salaries	N/A	INSERT INTO salaries (id, name, age, salary) VALUES (46, 'John Doe', 22, 4724)	
conn_3216072258382364426	1	2	2024-11-16 02:45:32	INSERT	FAILURE	192.168.3.92	10.0.44.160	ERP_USER_HOST101	ERP	HR	sql_6f71e7b75f9cdb70	salaries	N/A	INSERT INTO salaries (id, name, age, salary) VALUES (61, 'Bob Brown', 33, 3353)	
conn_7751697539618778886	1	2	2024-11-17 02:43:43	SELECT	FAILURE	192.168.86.105	10.0.214.64	ERP_USER_HOST101	ERP	APEX_040000	sql_4c39caa64cd00277	employees	id	SELECT id FROM employees WHERE event_date BETWEEN '2024-11-22 02:41:07' AND '2024-11-23 02:41:07'  AND name LIKE 'C%' AND age > 25 AND event_date BETWEEN '2024-11-22 02:41:07' AND '2024-11-23 02:41:07'  AND last_update_by = 'Bob Brown'	'2024-11-22 02:41:07', '2024-11-23 02:41:07', 'C%', 25, '2024-11-22 02:41:07', '2024-11-23 02:41:07', 'Bob Brown'
